"id"	"title"	"Подразделение"	"taskCategory"	"Сколько шагов"	"Промт подзаголовка"	"Промт шаг 1"	"Инструмент шаг 1"	"Промт шаг 2"	"Инструмент шаг 2"	"Промт шаг 3"	"Инструмент шаг 3"	"Промт шаг 4"	"Инструмент шаг 4"	"Промт шаг 5"	"Инструмент шаг 5"
"1"	"Карта потребностей подразделений и приоритизация спроса"	"Центр внедрений и развития спроса"	"Работа с анализом"	"5"	"Вставьте протоколы встреч, письма и заметки, чтобы получить карту потребностей подразделений и приоритетный список запросов. Замените поля в <...> на свои данные, затем вставьте промпт в нужный ИИ."	"Ты - аналитик по внедрению. Изучи загруженные протоколы, письма и заметки. Выдели все потребности, проблемы, ожидаемые эффекты и подразделения-источники. Объедини дубли и близкие формулировки. Формат вывода: таблица с колонками Потребность, Кто запросил, В чем проблема, Ожидаемый эффект, Основание из материалов."	"Анализ документов"	"Ты - консультант по внутреннему спросу. На основе таблицы потребностей сгруппируй их по 5-7 темам и для каждой темы сформулируй краткое бизнес-описание. Затем перечисли внутри темы конкретные потребности без потери смысла. Формат: сначала список тем, затем под каждой темой маркированный список потребностей."	"LLM / чат-модель"	"Ты - бизнес-аналитик. Возьми список потребностей и предложи систему приоритизации по критериям влияние, срочность, масштаб применения и ресурсная реализуемость. Присвой каждой потребности оценку по шкале 1-5, посчитай итоговый приоритет и выведи таблицу с колонками Потребность, Влияние, Срочность, Масштаб, Реализуемость, Итоговый балл, Приоритет."	"Табличная аналитика"	"Ты - методолог внедрения. Проверь таблицу потребностей и найди спорные, дублирующие или слишком общие записи. Для каждой такой записи укажи проблему, предложи уточняющий вопрос и дай нормализованную формулировку. Формат: таблица с колонками Исходная запись, Что смущает, Вопрос на уточнение, Предлагаемая формулировка."	"LLM / чат-модель"	"Ты - помощник руководителя проекта. Подготовь краткую записку и структуру презентации на 3-5 слайдов по итогам анализа спроса. В записке отрази основные темы спроса, топ-5 приоритетов, ожидаемые эффекты и следующие шаги. Формат: 1) текст записки до 2000 знаков, 2) список слайдов с заголовком и тезисами каждого слайда."	"Презентации / визуализация"
"2"	"Разбор обратной связи после пилотного внедрения"	"Центр внедрений и развития спроса"	"Работа с анализом"	"5"	"Вставьте анкеты, комментарии и записи обсуждений, чтобы получить структурированный разбор обратной связи и список приоритетных доработок. Замените поля в <...> на свои данные, затем вставьте промпт в нужный ИИ."	"Ты - аналитик пользовательского опыта. Изучи анкеты, письма, комментарии и чаты по итогам пилота. Собери все фрагменты обратной связи в единый список и для каждого укажи источник, автора или группу пользователей, а также дословный тезис. Формат: таблица с колонками Источник, Кто оставил отзыв, Текст обратной связи, Предварительная метка если она очевидна."	"Анализ документов / speech-to-text"	"Расшифруй аудиозапись обсуждения пилота на русском языке. Сохрани деление по спикерам, если это возможно. Не сокращай содержание. Неразборчивые места помечай как [неразборчиво]. Формат: сплошная стенограмма с таймкодами каждые 2-3 минуты."	"Speech-to-text"	"Ты - исследователь клиентского опыта. На основе всех текстов обратной связи раздели отзывы на три группы: что понравилось, что мешает работе, что предлагают улучшить. Внутри каждой группы объедини похожие формулировки и покажи частые темы. Формат: три раздела, в каждом таблица с колонками Тема, Суть, Примеры формулировок, Частота упоминаний."	"LLM / чат-модель"	"Ты - аналитик продукта. Возьми темы обратной связи и расставь приоритеты по двум критериям: критичность проблемы и частота повторения. Дай итоговую оценку High, Medium или Low и короткое объяснение. Формат: таблица с колонками Тема, Частота, Критичность, Приоритет, Почему это важно."	"Табличная аналитика"	"Ты - менеджер пилота. Подготовь один слайд с рекомендациями по итогам обратной связи. На слайде должны быть 3 блока: что оставить без изменений, что исправить в первую очередь, что можно вынести во вторую очередь. Формат: заголовок слайда и тезисы по каждому блоку."	"Презентации / визуализация"
"3"	"Паспорт пилота из разрозненных материалов"	"Центр пилотирования технологий"	"Работа с документами"	"5"	"Вставьте письма, презентации и рабочие заметки по пилоту, чтобы получить единый паспорт проекта с ключевыми полями и пробелами для уточнения. Замените поля в <...> на свои данные, затем вставьте промпт в нужный ИИ."	"Ты - координатор пилотных проектов. Изучи загруженные письма, презентации и рабочие заметки. Выдели из материалов цель пилота, гипотезу, сроки, участников, метрики успеха, ограничения и ожидаемый результат. Если один и тот же факт встречается в нескольких версиях, укажи все варианты. Формат: таблица с колонками Поле паспорта, Найденное значение, Источник, Комментарий."	"Анализ документов"	"Ты - бизнес-аналитик. На основе извлеченных фактов заполни черновик паспорта пилота по разделам: название, проблема, цель, гипотеза, контур пилота, команда, сроки, метрики, риски, ожидаемый эффект. Если данных не хватает, оставь пометку Нужна информация. Формат: структурированный документ по разделам."	"LLM / чат-модель"	"Ты - эксперт по качеству проектной документации. Проверь заполненный паспорт пилота на полноту и логические разрывы. Найди пустые поля, противоречия и неясные формулировки. Формат: таблица с колонками Раздел паспорта, Что отсутствует или конфликтует, Почему это важно, Что нужно уточнить."	"Анализ документов"	"Ты - проектный менеджер. Сформулируй список уточняющих вопросов к команде проекта по тем местам, где в паспорте не хватает информации или есть противоречия. Формат: нумерованный список вопросов, сгруппированный по разделам паспорта."	"LLM / чат-модель"	"Ты - методолог пилотных проектов. Подготовь финальную версию паспорта пилота в кратком деловом стиле. Сохрани только подтвержденные данные, а открытые вопросы вынеси в отдельный блок. Формат: 1) паспорт пилота по разделам, 2) блок Открытые вопросы."	"Анализ документов / презентации"
"4"	"Еженедельный мониторинг статуса пилота"	"Центр пилотирования технологий"	"Работа с анализом"	"5"	"Вставьте отчеты, переписку и материалы встреч за неделю, чтобы получить краткий статус пилота с прогрессом, рисками и следующим шагом. Замените поля в <...> на свои данные, затем вставьте промпт в нужный ИИ."	"Ты - координатор пилота. Изучи отчет, переписку и материалы встреч за неделю. Выдели все факты, относящиеся к статусу проекта: сделано, в работе, блокеры, решения, сроковые изменения. Формат: таблица с колонками Категория факта, Содержание, Источник, Дата."	"Анализ документов / speech-to-text"	"Расшифруй запись рабочей встречи по пилоту на русском языке. Сохрани деление по спикерам, отметь решения, сроки и поручения, если они звучат явно. Неразборчивые места помечай как [неразборчиво]. Формат: стенограмма с таймкодами."	"Speech-to-text"	"Ты - менеджер проекта. На основе материалов недели подготовь сводку по четырем блокам: что сделано, какие есть риски и блокеры, какие решения приняты, какой следующий шаг нужен. Пиши кратко, по делу, без общих фраз. Формат: 4 раздела по 3-5 пунктов каждый."	"LLM / чат-модель"	"Ты - помощник руководителя пилота. Посмотри на недельную сводку и найди места, которые нужно отдельно подтвердить у ответственного: спорные статусы, расплывчатые формулировки, отсутствующие сроки, неочевидные зависимости. Формат: таблица с колонками Фрагмент, Что нужно проверить, Почему это важно, Вопрос ответственному."	"LLM / чат-модель"	"Ты - автор управленческой отчетности. Подготовь еженедельный статус-репорт по пилоту на 1 страницу. Отрази прогресс, отклонения, риски, решения и ближайшие действия. Формат: короткий текстовый статус плюс мини-блок Ключевые риски и Следующие шаги."	"Презентации / визуализация"
"5"	"Предварительный скрининг заявки на меру поддержки"	"Центр финансовых мер поддержки и экспертизы"	"Работа с документами"	"5"	"Вставьте заявку, приложения и критерии программы, чтобы получить первичный скрининг соответствия и список пробелов перед экспертизой. Замените поля в <...> на свои данные, затем вставьте промпт в нужный ИИ."	"Ты - специалист по первичному отбору заявок. Изучи заявку, приложения и критерии программы. Выдели все разделы заявки и сопоставь их с соответствующими критериями. Формат: таблица с колонками Критерий, Где это отражено в заявке, Найденные подтверждения, Комментарий."	"Анализ документов"	"Ты - эксперт по оценке заявок. Сопоставь содержание заявки с критериями программы и для каждого критерия укажи статус: соответствует, частично соответствует, не подтверждено. К каждому статусу дай короткое пояснение на основе материалов. Формат: таблица с колонками Критерий, Статус, Основание, Комментарий."	"LLM / чат-модель"	"Ты - аналитик экспертного отбора. Найди в заявке недостающие сведения, слабые обоснования и рисковые места, которые могут повлиять на решение. Формат: таблица с колонками Раздел заявки, Что отсутствует или слабо раскрыто, Риск для экспертизы, Что нужно запросить."	"Анализ документов"	"Ты - старший эксперт. Посмотри на предварительный скрининг и выдели пункты, которые требуют ручной проверки специалистом: спорные формулировки, неоднозначные расчеты, неполные подтверждения. Формат: список пунктов с пометками Проверить обязательно и Желательно уточнить."	"LLM / чат-модель"	"Ты - сотрудник экспертного блока. Подготовь внутренний лист первичной оценки заявки в деловом стиле. Включи краткое описание проекта, сводку соответствия критериям, перечень пробелов и общий вывод о готовности заявки к дальнейшей экспертизе. Формат: структурированный документ по разделам."	"Анализ документов"
"6"	"Анализ обращений пользователей и приоритизация доработок"	"Центр развития цифровой инфраструктуры"	"Работа с анализом"	"5"	"Вставьте обращения, тикеты и комментарии пользователей, чтобы получить группировку проблем и приоритизированный список доработок. Замените поля в <...> на свои данные, затем вставьте промпт в нужный ИИ."	"Ты - аналитик цифрового сервиса. Изучи обращения, тикеты и комментарии пользователей. Для каждого обращения выдели суть проблемы, затронутый модуль или процесс, а также желаемый результат пользователя. Формат: таблица с колонками Источник, Краткая суть, Модуль или процесс, Что хочет пользователь, Цитата-основание."	"Анализ документов"	"Ты - product analyst. Сгруппируй обращения по типам проблем и объедини дубли. Для каждой группы сформулируй краткое название проблемы и опиши ее суть простым деловым языком. Формат: таблица с колонками Группа проблемы, Описание, Какие обращения вошли, Частота."	"LLM / чат-модель"	"Ты - аналитик бэклога. Возьми сгруппированные проблемы и оцени каждую по двум критериям: частота и влияние на работу пользователя. Используй шкалу 1-5 и посчитай общий приоритет. Формат: таблица с колонками Проблема, Частота, Влияние, Итоговый балл, Приоритет."	"Табличная аналитика"	"Ты - менеджер продукта. На основе приоритетов предложи список доработок для ближайшего релиза. Для каждой доработки укажи, какую проблему она решает, кого затрагивает и какой ожидаемый эффект дает. Формат: таблица с колонками Доработка, Какую проблему решает, Для кого важно, Ожидаемый эффект, Приоритет."	"LLM / чат-модель"	"Ты - автор управленческих материалов. Подготовь короткую сводку для команды и руководителя: топ проблем пользователей, 3-5 приоритетных доработок и ожидаемый эффект после внедрения. Формат: заголовок, 3 блока тезисов и финальный вывод в 2-3 предложениях."	"Презентации / визуализация"
"7"	"Контент-план кампании по запуску инициативы"	"Центр коммуникаций и маркетинга"	"Работа с текстом"	"5"	"Вставьте вводные по инициативе, целям и аудиториям, чтобы получить контент-план кампании, сообщения по сегментам и календарь публикаций. Замените поля в <...> на свои данные, затем вставьте промпт в нужный ИИ."	"Ты - коммуникационный стратег. Изучи вводные по инициативе, целям кампании и аудиториям. Выдели, что именно запускается, для кого, зачем и какой эффект важно донести. Формат: краткая таблица с колонками Аудитория, Что для нее важно, Главный смысл, Желаемое действие."	"Анализ документов"	"Ты - копирайтер деловых коммуникаций. На основе карты аудиторий сформулируй ключевые сообщения для каждой аудитории. Для каждой группы дай 1 главный месседж, 2-3 поддерживающих тезиса и рекомендуемый тон коммуникации. Формат: по одной карточке на аудиторию."	"LLM / чат-модель"	"Ты - медиапланер. Разложи сообщения по каналам коммуникации: сайт, соцсети, рассылка, мероприятие или другой релевантный канал. Для каждого канала укажи, какой формат контента подходит лучше всего и на каком этапе кампании его использовать. Формат: таблица с колонками Канал, Аудитория, Формат, Цель публикации, Этап кампании."	"Табличная аналитика"	"Ты - менеджер кампаний. Составь календарь публикаций на период запуска. Покажи последовательность материалов так, чтобы они вели пользователя от узнавания к действию. Формат: таблица с колонками Дата или период, Канал, Тема материала, Цель, Ответственный блок."	"Табличная аналитика"	"Ты - арт-директор коммуникационной кампании. Предложи 3 варианта визуальной подачи для запуска инициативы: стиль, цветовые акценты, тип носителей и примеры того, какие карточки или баннеры стоит сделать. Формат: 3 концепции с названиями и коротким описанием, затем список визуальных материалов для производства."	"Презентации / визуализация / генерация изображений"
"8"	"Сравнение коммерческих предложений по единым критериям"	"Центр закупочной деятельности"	"Работа с документами"	"5"	"Вставьте предложения поставщиков, чтобы получить структурированное сравнение по ключевым условиям и рискам. Замените поля в <...> на свои данные, затем вставьте промпт в нужный ИИ."	"Ты - закупочный аналитик. Изучи коммерческие предложения и критерии оценки. Извлеки по каждому предложению ключевые параметры: цена, сроки, состав работ, условия, дополнительные опции, ограничения. Формат: таблица с колонками Поставщик, Параметр, Значение, Источник в документе."	"Анализ документов"	"Ты - специалист по закупкам. На основе извлеченных параметров приведи предложения к единой логике сравнения. Если формулировки у поставщиков отличаются, нормализуй их в сопоставимый вид и отдельно пометь спорные места. Формат: таблица с колонками Поставщик, Критерий, Нормализованное значение, Есть ли неопределенность, Комментарий."	"LLM / чат-модель"	"Ты - аналитик сравнительных таблиц. Сведи нормализованные параметры в матрицу сравнения по единым критериям. Добавь отдельную колонку с предварительной оценкой лучше, сопоставимо, хуже там, где это можно определить по данным. Формат: сравнительная таблица по поставщикам."	"Табличная аналитика"	"Ты - эксперт рабочей группы. Посмотри на матрицу и выдели пункты, где различия между предложениями наиболее существенны для принятия решения. Для каждого пункта коротко объясни, почему он важен. Формат: список существенных различий с пояснениями."	"LLM / чат-модель"	"Ты - автор краткой закупочной справки. Подготовь короткую справку для рабочей группы: что сравнивали, какие ключевые различия выявлены, по каким вопросам нужно дополнительное уточнение. Формат: 3 раздела по 3-5 тезисов."	"Анализ документов / презентации"
"9"	"Обзор научно-технологических трендов по теме"	"Центр развития исследований и разработок"	"Работа с новостями и публикациями"	"5"	"Вставьте тему, период и подборку материалов, чтобы получить обзор научно-технологических трендов, применимости и выводов для команды. Замените поля в <...> на свои данные, затем вставьте промпт в нужный ИИ."	"Ты - исследователь научно-технологической повестки. Подбери и суммаризируй материалы по теме [укажите тему] за [укажите период]. Ищи публикации, обзоры, аналитические отчеты и описания практических применений. Для каждого источника дай короткую аннотацию в 2-3 предложения. Формат: таблица с колонками Источник, Тип материала, Дата, Краткая аннотация, Почему релевантно."	"Поиск и суммаризация материалов"	"Ты - технологический аналитик. На основе собранных материалов выдели 5-7 ключевых трендов по теме. Для каждого тренда опиши, в чем его суть, чем он отличается от соседних направлений и почему он сейчас важен. Формат: список трендов с подпунктами Суть, Почему важно, Примеры из материалов."	"LLM / чат-модель"	"Ты - аналитик портфеля исследований. Сгруппируй материалы и тренды по темам, зрелости и возможной применимости. Используй категории ранняя стадия, развивающееся направление, прикладное применение. Формат: таблица с колонками Тренд, Тема, Стадия зрелости, Применимость, Основание."	"Табличная аналитика"	"Ты - аналитик обзоров. На основе таблицы собери короткую сводную таблицу для команды: какие тренды выглядят наиболее перспективными, какие требуют наблюдения, а какие пока рано масштабировать. Формат: таблица с колонками Тренд, Краткий вывод, Рекомендация, Почему."	"Табличная аналитика"	"Ты - автор обзорных материалов. Подготовь краткий обзор для рабочей группы в деловом стиле. Включи контекст темы, ключевые тренды, возможные области применения и 3-5 выводов для дальнейшей работы. Формат: текст до 2500 знаков и структура презентации на 3-4 слайда."	"Презентации / визуализация"
"10"	"Единый статус-репорт по спецпроекту из нескольких источников"	"Центр сопровождения специальных проектов"	"Работа с документами"	"5"	"Вставьте отчеты, письма и протоколы по спецпроекту, чтобы получить единый статус-репорт с отклонениями, рисками и следующими действиями. Замените поля в <...> на свои данные, затем вставьте промпт в нужный ИИ."	"Ты - координатор специального проекта. Изучи отчеты, письма и протоколы за отчетный период. Выдели все факты по задачам, срокам, рискам, решениям и зависимостям. Формат: таблица с колонками Категория, Факт, Источник, Дата, Комментарий."	"Анализ документов"	"Ты - менеджер проекта. На основе фактов подготовь сводку по трем блокам: прогресс, риски, решения. Пиши только по существу, без повторов. Если информации недостаточно, явно помечай пробелы. Формат: 3 раздела с маркированными пунктами."	"LLM / чат-модель"	"Ты - аналитик проектного контроля. Сопоставь текущий статус с планом проекта. Найди отклонения по срокам, зависимостям и ожидаемым результатам. Формат: таблица с колонками План, Факт, Отклонение, Риск, Требуется действие."	"Табличная аналитика"	"Ты - помощник руководителя проекта. Посмотри на сводку и таблицу отклонений. Сформулируй, какие факты нужно дополнительно подтвердить, какие риски требуют эскалации и какие решения стоит вынести на следующий уровень. Формат: 3 списка по блокам Подтвердить, Эскалировать, Решить."	"LLM / чат-модель"	"Ты - автор управленческой отчетности. Подготовь статус-репорт по спецпроекту на 1 страницу. Включи текущее состояние, критичные отклонения, риски и следующие шаги. Формат: деловая сводка с блоками Статус, Риски, Решения, Следующие шаги."	"Презентации / визуализация"
